MCS-102-PB,MCS-102-PB,MCS-105-NK,MCS-103-RG,MCS-103-RG,Empty,Empty,MCS-101-NG
MCS-104-RK,MCS-105-NK,MCS-105-NK,MCS-105-NK,MCS-102-PB,MCS-102-PB,MCS-102-PB,MCS-104-RK
MCS-101-NG,Empty,Empty,MCS-103-RG,MCS-104-RK,Empty,MCS-103-RG,MCS-104-RK
Empty,Empty,MCS-105-NK,MCS-101-NG,MCS-103-RG,MCS-101-NG,MCS-104-RK,Empty
Empty,MCS-101-NG,Empty,MCS-101-NG,MCS-105-NK,Empty,MCS-101-NG,MCS-105-NK
